Gender,Age,Hobby,HSC_Gpa,HSC_Group,Grade_Math,Grade_Phy,Grade_Bio,Grade_Chem,Grade_Acc,Grade_Eco,Grade_Bom,Grade_FBI,Grade_Log,Grade_Hist,Grade_Socio,Grade_Geo,Grade_ICT,Fvrt_Subject,Fvrt_Sub_Grade,Undergraduate_Sub_Wanted,Sub_Undergrad,Satisfaction,Current_CGPA,Difficulty_Undergraduate,e1,e3,a1,a3,c1,c3,n1,n3,o1,e2,e4,a4,a2,c2,c4,n2,n4,o3,o2,o4,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,OPN,CSN,EXT,ARG,NT,INT
0,3,17,7,0,0,0,0,0,0,0,0,0,0,5,4,0,5,19,5,g,b,0,4,2,5,5,5,5,5,5,5,5,4,5,5,5,1,2,5,4,4,2,5,1,5,3,5,5,5,5,5,5,5,3,5,1.0,2,12,17,20,16,18,54
1,2,34,5,2,3,2,4,2,0,0,0,0,0,0,0,0,5,11,4,b,b,1,3,2,4,3,5,4,3,5,2,2,4,1,1,2,4,4,4,3,2,3,4,4,4,3,4,3,3,4,4,5,5,2,5,3.0,1,15,16,9,15,9,46
0,2,14,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,27,4,g,b,0,4,1,2,2,4,5,5,5,4,3,4,1,1,1,1,5,5,1,2,3,3,4,2,3,2,3,3,2,4,4,5,2,4,4.0,3,14,20,6,11,10,41
0,3,4,7,0,0,0,0,0,0,0,0,0,5,5,0,0,5,20,5,g,b,1,3,2,5,4,3,4,4,5,4,2,4,4,2,1,2,5,5,2,2,4,4,4,5,2,4,4,4,4,4,4,3,2,3,4.0,2,16,19,15,10,10,45
0,1,27,6,1,0,0,0,0,4,0,5,5,0,0,0,0,5,1,4,h,b,0,4,2,1,2,3,3,2,3,4,4,4,2,2,3,2,4,3,4,4,3,3,4,2,3,4,3,3,2,2,1,4,4,4,3.0,3,14,12,7,11,16,38
1,3,50,6,2,4,4,4,5,0,0,0,0,0,0,0,0,5,10,5,a,b,0,4,2,3,2,4,4,3,4,4,3,5,2,2,2,2,4,3,2,3,3,3,5,4,3,4,4,3,4,4,5,4,2,4,2.0,2,16,14,9,12,12,45
1,2,16,5,0,0,0,0,0,0,0,0,0,5,4,0,0,4,9,4,b,b,0,2,2,3,2,4,4,4,4,2,4,2,1,2,2,4,2,4,2,4,4,4,2,2,3,3,4,4,4,4,4,5,4,4,4.0,2,12,14,8,14,12,47
1,3,61,6,0,0,0,0,0,0,0,0,0,0,4,5,0,5,29,5,b,b,1,2,1,2,4,4,4,3,3,2,4,3,4,4,3,3,3,1,1,3,3,3,4,3,2,3,3,3,4,3,2,2,4,2,3.0,2,13,10,14,14,10,36
1,2,52,5,0,0,0,0,0,0,0,0,0,5,0,0,0,4,10,4,g,b,0,4,1,2,4,5,4,4,4,3,1,4,1,3,3,5,2,4,1,2,1,5,4,4,2,2,4,4,4,4,4,4,1,2,1.0,1,14,14,10,17,7,37
1,3,69,6,1,0,0,0,0,5,5,4,5,0,0,0,0,5,12,5,f,f,0,2,2,5,4,5,5,4,2,3,3,5,4,3,3,2,4,4,2,2,1,1,5,4,4,4,4,4,4,4,4,2,3,4,4.0,2,12,14,16,15,10,47
