Gender,Age,Hobby,HSC_Gpa,HSC_Group,HSC_Grade_Math,HSC_Grade_Physics,HSC_Grade_Biology,HSC_Grade_Chemistry,HSC_Grade_Accounting,HSC_Grade_Economics,HSC_Grade_BOM,HSC_Grade_FBI,HSC_Grade_Logic,HSC_Grade_History,HSC_Grade_Sociology,HSC_Grade_Geography,HSC_Grade_ICT,Fvrt_Subject,Fvrt_Sub_Grade,Undergraduate_Sub_Wanted,Undergraduate_Sub,Satisfaction,Current_CGPA,Difficulty_Undergraduate,e1,e3,a1,a3,c1,c3,n1,n3,o1,e2,e4,a4,a2,c2,c4,n2,n4,o3,o2,o4,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,OPN,CSN,EXT,ARG,NT,INT
1,22 above,46,7,2,5,4,5,5,0,0,0,0,0,0,0,0,0,30,4,a,a,0,1,1,3,3,5,4,3,1,3,3,1,3,3,4,3,1,2,3,1,3,3,5,3,2,5,4,3,4,3,2,4,3,5,2.0,1,12,7,12,16,10,41
1,22 above,45,7,2,5,4,4,5,0,0,0,0,0,0,0,0,5,7,5,a,a,1,5,1,4,3,4,4,5,5,2,2,4,2,3,3,2,4,4,2,2,2,3,5,5,3,4,4,4,3,5,5,4,2,4,2.0,2,14,18,12,13,8,47
1,18-20,49,7,2,5,4,5,5,0,0,0,0,0,0,0,0,5,4,5,d,d,1,5,1,3,3,4,4,4,4,2,2,2,2,4,4,2,4,2,2,4,2,4,2,3,3,4,4,4,2,4,4,4,2,4,2.0,2,10,14,12,14,10,42
0,18-20,25,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,3,5,c,,1,6,0,5,4,5,5,5,5,3,2,5,2,2,1,5,5,5,1,4,5,4,5,2,4,5,5,4,4,5,5,5,4,4,,4,19,20,13,16,10,51
1,20-22,48,7,2,3,5,5,5,0,0,0,0,0,0,0,0,4,3,5,d,d,0,5,1,3,4,5,5,4,4,4,3,3,3,3,1,3,1,2,3,3,3,3,2,3,2,2,3,3,3,3,3,5,4,5,5.0,3,11,11,13,14,13,44
1,20-22,34,7,2,5,5,5,5,0,0,0,0,0,0,0,0,4,14,5,i,c,1,6,0,3,3,4,4,4,4,3,1,3,3,4,3,2,3,4,3,3,2,2,3,4,4,4,4,3,4,4,4,4,2,4,3.0,3,10,15,13,13,10,47
1,18-20,54,6,2,5,5,5,4,0,0,0,0,0,0,0,0,5,15,5,a,f,0,0,2,4,3,4,4,3,5,4,4,3,2,3,2,4,2,3,2,2,2,3,2,2,2,2,3,2,4,4,4,4,4,5,4.0,2,10,13,12,14,12,42
0,20-22,31,7,2,5,4,5,5,0,0,0,0,0,0,0,0,4,5,5,d,d,0,0,1,3,3,5,4,2,3,3,4,4,2,2,2,4,2,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4.0,2,14,11,10,15,12,49
0,18-20,29,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,21,5,g,f,1,0,1,3,3,4,4,3,5,4,4,2,3,3,2,1,4,4,3,4,3,3,4,2,3,4,4,4,4,4,4,4,3,5,3.0,3,12,16,12,11,15,47
0,18-20,62,6,2,4,4,5,5,0,0,0,0,0,0,0,0,5,13,4,g,g,1,4,1,2,2,3,3,3,4,3,4,4,2,2,3,2,4,4,2,4,4,2,2,4,3,4,4,3,5,5,5,2,2,3,2.0,2,12,15,8,11,13,44
0,18-20,0,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,17,5,i,i,1,6,1,3,3,4,4,2,3,2,1,4,3,2,4,3,2,4,2,2,4,4,4,4,3,3,4,3,2,4,4,3,2,3,2.0,2,16,11,11,15,7,39
0,18-20,31,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,24,5,a,i,0,4,2,3,2,4,4,4,4,4,4,4,2,3,3,2,4,4,4,4,3,4,4,4,2,4,3,3,2,4,4,3,2,3,2.0,2,15,16,10,13,16,38
0,20-22,26,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,30,5,a,a,1,4,0,2,1,5,4,3,5,4,2,5,1,1,5,4,3,4,1,3,5,5,5,5,4,5,3,5,3,5,5,5,2,5,3.0,1,20,15,5,18,10,51
0,20-22,30,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,17,5,a,a,1,5,2,1,5,5,5,5,5,5,5,3,1,2,3,1,1,1,1,3,1,1,2,2,4,5,5,4,5,5,4,5,2,5,4.0,5,7,12,9,14,14,55
1,22 above,28,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,24,5,b,a,0,2,2,4,3,4,4,2,3,2,2,4,3,2,2,3,2,4,2,2,4,4,4,2,4,4,4,3,2,4,4,4,2,4,4.0,3,16,11,12,13,8,44
1,16-18,59,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,2,5,d,a,0,5,2,2,1,3,3,3,3,4,3,5,2,3,1,1,1,1,3,1,2,2,5,3,3,3,3,2,3,3,3,3,3,3,3.0,3,14,8,8,8,11,38
0,16-18,26,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,21,5,a,a,1,6,2,5,5,4,5,5,4,3,4,4,5,5,4,3,4,3,4,3,4,4,3,3,5,4,4,4,5,4,4,5,3,5,3.0,3,15,16,20,16,14,52
0,22 above,17,7,0,0,0,0,0,0,0,0,0,0,5,4,0,5,19,5,g,b,0,4,2,5,5,5,5,5,5,5,5,4,5,5,5,1,2,5,4,4,2,5,1,5,3,5,5,5,5,5,5,5,3,5,1.0,2,12,17,20,16,18,54
1,20-22,34,5,2,3,2,4,2,0,0,0,0,0,0,0,0,5,11,4,b,b,1,3,2,4,3,5,4,3,5,2,2,4,1,1,2,4,4,4,3,2,3,4,4,4,3,4,3,3,4,4,5,5,2,5,3.0,1,15,16,9,15,9,46
0,20-22,14,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,27,4,g,b,0,4,1,2,2,4,5,5,5,4,3,4,1,1,1,1,5,5,1,2,3,3,4,2,3,2,3,3,2,4,4,5,2,4,4.0,3,14,20,6,11,10,41
0,22 above,4,7,0,0,0,0,0,0,0,0,0,5,5,0,0,5,20,5,g,b,1,3,2,5,4,3,4,4,5,4,2,4,4,2,1,2,5,5,2,2,4,4,4,5,2,4,4,4,4,4,4,3,2,3,4.0,2,16,19,15,10,10,45
0,18-20,27,6,1,0,0,0,0,4,0,5,5,0,0,0,0,5,1,4,h,b,0,4,2,1,2,3,3,2,3,4,4,4,2,2,3,2,4,3,4,4,3,3,4,2,3,4,3,3,2,2,1,4,4,4,3.0,3,14,12,7,11,16,38
1,22 above,50,6,2,4,4,4,5,0,0,0,0,0,0,0,0,5,10,5,a,b,0,4,2,3,2,4,4,3,4,4,3,5,2,2,2,2,4,3,2,3,3,3,5,4,3,4,4,3,4,4,5,4,2,4,2.0,2,16,14,9,12,12,45
1,20-22,16,5,0,0,0,0,0,0,0,0,0,5,4,0,0,4,9,4,b,b,0,2,2,3,2,4,4,4,4,2,4,2,1,2,2,4,2,4,2,4,4,4,2,2,3,3,4,4,4,4,4,5,4,4,4.0,2,12,14,8,14,12,47
1,22 above,61,6,0,0,0,0,0,0,0,0,0,0,4,5,0,5,29,5,b,b,1,2,1,2,4,4,4,3,3,2,4,3,4,4,3,3,3,1,1,3,3,3,4,3,2,3,3,3,4,3,2,2,4,2,3.0,2,13,10,14,14,10,36
1,20-22,52,5,0,0,0,0,0,0,0,0,0,5,0,0,0,4,10,4,g,b,0,4,1,2,4,5,4,4,4,3,1,4,1,3,3,5,2,4,1,2,1,5,4,4,2,2,4,4,4,4,4,4,1,2,1.0,1,14,14,10,17,7,37
1,22 above,69,6,1,0,0,0,0,5,5,4,5,0,0,0,0,5,12,5,f,f,0,2,2,5,4,5,5,4,2,3,3,5,4,3,3,2,4,4,2,2,1,1,5,4,4,4,4,4,4,4,4,2,3,4,4.0,2,12,14,16,15,10,47
0,20-22,29,7,2,5,5,4,5,0,0,0,0,0,0,0,0,5,21,5,a,a,1,5,1,3,3,4,4,5,5,3,3,4,2,2,3,4,2,3,4,3,4,4,4,4,4,5,5,5,4,3,4,3,3,3,1.0,1,16,15,10,15,13,45
0,22 above,51,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,18,5,a,a,1,5,0,3,2,4,4,4,4,4,3,5,1,2,2,3,3,2,2,3,5,5,5,4,4,5,5,5,4,4,4,2,3,2,2.0,2,20,13,8,13,12,46
0,22 above,33,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,24,5,a,a,1,2,2,1,1,5,4,4,5,2,4,3,2,4,2,4,5,5,4,4,4,5,4,3,3,5,4,5,3,4,5,3,2,2,2.0,3,16,19,8,15,14,44
0,22 above,11,7,2,5,5,4,5,0,0,0,0,0,0,0,0,5,11,5,b,i,0,4,2,5,5,4,3,4,5,4,5,3,5,2,4,4,5,5,3,2,4,4,3,1,3,4,3,4,2,3,4,5,4,2,3.0,4,14,19,17,15,14,42
